"PPN","physischePPN"
"PPN621202207","PPNx"
"PPN3306131385","PPN3305309024"
"PPN797116850","PPN797116354"
"PPN1024155064","PPN1024154572"
"PPN681064382","PPN68060345X"
"PPN3346230228","PPN3343787248"
"PPN767810961","PPN555360881"
"PPN671547879","PPNx"
"PPN670479411","PPN282048928"
"PPN3343669407","PPN331758727X"
"PPN1736482203","PPN494326905"
"PPN743967801","PPN548404372"
"PPN1737752050","PPN1737748428"
"PPN767070461","PPN767067843"
"PPN3343669911","PPN3341287604"
"PPN776966219","PPN776959727"
"PPN3371340287","PPN337133371X"
"PPN1041105541","PPN104110412X"
"PPN3371341445","PPN3371334872"
"PPN797119205","PPN797118950"
