PPN; Jahr; Titel; Publisher
PPN1046209450; 1737; Kitāb al-Išāra fī futyā al-ʿibāra; none
PPN1046210041; 1628; [Ḥāšīya ʿalā Kitāb al-Bustān al-ğāmiʿ li-l-fawākih al-ḥassān]; none
PPN1046331671; 1813; Urǧūza fī 'l-maʿānī wa-l-bayān wa-l-badīʿ; none
PPN1046331949; 1636; Arabische Sammelhandschrift; none
PPN1046332201; 1737; [Medizinische Texte]; none
PPN1046332597; 1360; Šarḥ aš-Šāfīya; none
PPN1046332988; 1663; Kitāb Tanqīḥ al-qulūb wa-l-abṣār ilā kaifīyat iqtiṭāf aṯmār al-azhār; none
PPN1046333348; 1454; Šarḥ Muntahā as-suʾl wa-'l-amal fī ʿilmai al-uṣūl wal-ǧadal; none
PPN1046333798; 1736; [Dīwān Ibn-al-Fāriḍ]; none
PPN104633414X; 1500; Arabische Sammelhandschrift; none
PPN1046334530; 1688; Kitāb Tuḥfat al-aḥbāb wa-ṭurfat al-aṣḥāb fī šarḥ Mulḥat al-iʿrāb li-Abī-l-Qāsim al-Ḥarīrī; none
