PPN; Jahr; Titel; Publisher
PPN1046335987; 1494; Kitāb at-Taḏkira al-fāḫira fī fiqh al-ʿitra aṭ-ṭāhira; none
PPN1046386069; 1600; Arabische Sammelhandschrift; none
PPN1046387588; 1583; Šarḥ Kitāb al-Baḥr az-Zaḫḫār; none
PPN1046388339; 1664; Šarḥ al-Baḥr az-zaḫḫār; none
PPN1046412337; 1400; Arabische Sammelhandschrift; none
PPN1046414070; 1461; Kitāb al-Azhār; none
PPN1046414348; 1737; Kitāb Ākām al-marǧān fī aḥkām al-ǧān; none
PPN1046414550; 1657; Arabische Sammelhandschrift; none
PPN1046415069; 1688; Kitāb ad-Durra al-muntaḫaba fī 'l-adwīya al-muǧarraba; none
PPN1046415360; 1682; Nahǧ al-balāġa; none
PPN1046415891; 1785; ad-Daqāʾiq al-muḥkama fī šarḥ al-Muqaddima al-ǧazarīya fī ʿilm at-taǧwīd; none
PPN1046416235; 1665; as-Sīra an-Nabawīya; none
PPN1046416553; 1881; aṣ-Ṣaḥīfa al-Kāmila; none
PPN1046416812; 1737; Arabische Sammelhandschrift; none
PPN1046417193; 1400; Arabische Sammelhandschrift; none
PPN1046417592; 1404; Bahǧat al-Muḥāfil wa-buġyat al-amāṯil fī talḫīṣ as-siyar wa-l-muʿǧizāt wa-l-šamāʾil; none
PPN1046417983; 1397; [Tārīḫ Ahl al-bait]; none
PPN1046418378; 1642; Risālat as-Saiyid Šaraf-ad-Dīn al-Ḥasan Ibn-Aḥmad al-Ǧalāl ilā maulānā al-mutawakkil ʿalā Allāh rabb al-ʿālamīn Ismāʿīl Ibn-Amīr al-Muʾminīn al-Qāsim Ibn-Muḥammad; none
PPN1046422480; 1785; Arabische Sammelhandschrift; none
PPN1046423053; 1598; Arabische Sammelhandschrift; none
PPN1046423657; 1397; Kitāb Ṣifat aṣ-ṣafwa; none
PPN104644445X; 1591; al-Ǧuzʾ al-auwal min Kitāb aš-Šāfī; none
PPN1046444824; 1737; Arabische Sammelhandschrift; none
PPN1046446754; 1600; Arabische Sammelhandschrift; none
PPN1046447726; 1531; Kitāb ad-Durr aṯ-ṯamīn min kalām bāb madīnat al-ʿilm amīr al-muʾminīn wa-saiyid al-waṣīyīn ʿAlī Ibn-Abī-Ṭālib; none
PPN1046448293; 1758; al-Manār fī 'l-muḫtār min ǧawāhir al-Baḥr az-zaḫḫār; none
PPN1046459163; 1397; Maʿālim at-tanzīl fī tafsīr al-Qurʾān al-ǧalīl; none
PPN1046459678; 1647; Kāfīya ḏawī al-adab fī ʿilm kalām al-ʿarab; none
PPN1046860534; 1300; Mishneh Torah : Sefer ha-Madaʿ, Sefer Nashim; none
PPN1046875140; 1685; al-Kalim al-fiṣāḥ min Tarwīḥ al-arwāḥ; none
PPN1046875205; 1300; Ṣarf al-ʿain ʿan ṣarf al-ʿain fī waṣf al-ʿain; none
PPN1046875248; 1400; Anthologie mit erbaulichen Geschichten; none
PPN1046875299; 1800; Sīrat Banī Hilāl (Teil 2); none
PPN1046875345; 1845; Sīrat Banī Hilāl : Malḥamat at-Tubbʿīya wa-sulṭāna Kulaib ʿalā at-tamām min Banī Hilāl; none
PPN1046875388; 1845; Sīrat Banī Hilāl : Malḥamat at-Tubbʿ Ḥassān; none
PPN104687540X; 1700; Sīrat Banī Hilāl; none
PPN1046875531; 1800; Dīwān; none
PPN104687554X; 1844; Dīwān; none
PPN1047029170; 1300; Hebräische Sammelhandschrift; none
PPN1047037882; 1700; Jemenitisches Gebetsbuch; none
PPN1047114437; 1700; Sodot u-segulot; none
PPN1047292882; 1800; Arabische Sammelhandschrift; none
PPN104730466X; 1733; Hebräische Sammelhandschrift; none
PPN1047634759; 1819; 西域水道記 [5卷]; none
PPN1047776219; 1600; Jemenitisches Gebetsbuch; none
PPN1048273784; 1700; Ardashir-namah; none
PPN1048343162; 1400; Ḥibur be-ḳadaḥot be-ḳotser; none
PPN1048350703; 1400; Perush ʿal ha-Torah; none
PPN1048383172; 1600; Hebräische Sammelhandschrift; none
PPN1048385221; 1600; Kommentar zu Maimonides' Hilkhot sheḥiṭah; none
PPN1048385825; 1500; [Taʿbīr]; none
PPN1048388492; 1800; Osmanisch-türkische Sammelhandschrift; none
PPN104838909X; 1700; Tārīḫ al-ʿIṣāmī; none
PPN1048610853; 1700; Oṣṭhaśataka; none
PPN1048612619; 1700; Jārajātaśataka; none
PPN104865818X; 1700; Jemenitisches Gebetbuch; none
PPN1048683265; 1700; Hebräische Sammelhandschrift; none
PPN1048924238; 1140; Arabische Sammelhandschrift; none
PPN1048933946; 1400; Perush ha-Torah; none
PPN1048958485; 1200; Muḫtaṣar Kitāb al-uṣūl; none
PPN1048963888; 1600; Hebräische Sammelhandschrift; none
PPN1049144368; 1400; Ṭiwāl al-aḥādīṯ; none
PPN1049144376; 1700; Girsa de-yanḳuta; none
PPN1049145127; 1786; Kitāb-ı ṣarf-ı türkī; none
PPN1049145429; 1700; Briefe an Heinrich Friedrich von Diez und Dokumente; none
PPN1049145984; 1700; Sammlung von Dokumenten von Diez aus Konstantinopel mitgebracht; none
PPN1049146174; 1700; Türkische Briefe an Heinrich Friedrich von Diez; none
PPN1049147472; 1400; Kabbalistische Abhandlungen; none
PPN1049262042; 1558; Hitopadeśa; none
PPN1049344863; 1797; ʿUnwān al-murqiṣāt wa-l-muṭribāt; none
PPN1049608453; 1700; Osmanisch-türkische Sammelhandschrift; none
PPN1049700074; 1786; as-Safīna; none
PPN1066497923; 1800; (1) Tirukkuṟaḷ (2) Nālaṭiyār; none
PPN1066498490; 1800; [Erzählung von Viṣṇu in seiner Inkarnation als Kṛṣṇa]; none
PPN1066600023; 1700; Dīwān; none
PPN1066683581; 1400; Sammlung verschiedener Gebete; none
PPN1066783896; 1690; Kitāb al-Ġaiṯ al-midrār al-mufattiḥ li-kamāʾim al-Azhār; none
PPN106678499X; 1638; al-Baḥr az-zaḫḫār al-ğāmiʿ li-maḏāhib ʿulamāʾ al-amṣār; none
PPN1066786216; 1642; ʿUddat al-akyās al-muntazaʿ min Šifāʾ ṣudūr an-nās; none
PPN1067236546; 1600; Sefer kanfe yonah; none
PPN1067241620; 1700; Sammlung arabischer Gebete, Gedichte und Pentateuchauszüge in hebräischer Schrift; none
PPN1067257349; 1635; Leshon zahav; none
PPN1067264620; 1500; Kommentar zur Mishnah : Seder Ḳodashin; none
PPN1067416579; 1500; Kommentar zu den Klageliedern; none
PPN1067419586; 1500; Hilkhot malṿeh ṿe-loṿeh : Parodie auf Maimonides' "Mishneh Torah"; none
PPN1067429387; 1800; Jemenitische Gedichtsammlung; none
PPN1067461175; 1774; al-Muqaddima al-Ǧazarīya; none
PPN1067463720; 1543; [Grammatikkommentar]; none
PPN1067503617; 1800; Anayanaya; none
PPN1067504478; 1820; Mandäische Zauberrolle; none
PPN1067504680; 1800; Mandäische Zauberrolle; none
PPN1067504842; 1800; Mandäische Zauberrolle; none
PPN1067505482; 1800; Mandäische Fragmente; none
PPN1067543953; 1500; al-Aḥādīṯ al-muḍīʾa ʿalā l-masāʾil al-fiqhīya; none
PPN1067571272; 1700; Hebräische Sammelhandschrift; none
PPN1067582460; 1600; Raza de-ʿuvda de-bereshit; none
PPN1067596879; 1600; ʿEmeḳ ha-bakha; none
PPN1067597549; 1600; Namensverzeichnis : alphabetisches Verzeichnis von Personen- und Städtenamen zur Verwendung in Heiratsurkunden und Scheidebriefen; none
PPN1067653449; 1700; Pizmonim; none
PPN1067653902; 1684; Arabische Sammelhandschrift; none
PPN1067654828; 1900; al-Ġaṭamṭam az-zaḫḫār al-muṭahhar fī radd ʿalā s-Sail al-ǧarrār; none
PPN1067656405; 1800; Arabische Sammelhandschrift; none
PPN1067656979; 1681; Arabische Sammelhandschrift; none
PPN1067657452; 1914; Arabische Sammelhandschrift; none
PPN1067665005; 1300; Fragment eines astrologischen Werkes; none
PPN1067710302; 1771; Pilpul ʿal zeman zemanim zemanehem; none
PPN106771331X; 1600; Maṭālaʿ al-budūr al-ʿalīya fī manāzil as-surūr al-adabīya; none
PPN1067719040; 1700; Rabbinische Responsen, Gutachten und weiteres; none
PPN1067742484; 1859; Dharmaparīkṣā; none
PPN1067770690; 1800; འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ; none
PPN1067770895; 1800; དམིགས་བརྩེ་མའི་ལས་ཚོགས; none
PPN1067771077; 1800; བུ་སྟོན་གྱིས་མཛད་པའི་དུས་གོའི་ལྷན་ཐབས་དུས་གོ་བརྗོད་ཚུལ་སོགས་ཕྲན་དགའ; none
PPN1067771239; 1800; འཇམ་དབྱངས་དཀར་པོའི་སྒྲུབ་ཐབས་དང་བཅས་པ; none
PPN1067771409; 1800; དཔལ་མགོན་ཞལ་བཞི་པའི་མངོན་རྟོགས་བསྐང་བཤགས་བསྟོད་བསྐུལ་དང་བཅས་པ; none
PPN106777159X; 1800; དཔལ་རྡོ་རྗེ་རྣམ་པར་འཇོམས་པའི་ཆོ་ག་ཕན་བདེའི་འབྱུང་གནས; none
PPN1067771719; 1800; དམ་ཅན་རྡོ་རྗེ་ལེགས་པའི་བསྐང་བ་མཆོད་བསྟོད་ཀྱི་རིམ་པ་སྟོབས་ལྡན་ཡིད་འགུལ; none
PPN1067797696; 1600; Urkundenformulare, Briefe, Gedichte und Aufzeichnungen; none
PPN1067801103; 1879; Sidur beʾur ha-tefilot; none
PPN1067804722; 1400; Tsofnat paʿneaḥ; none
PPN1067812725; 1600; Tiḳune Zohar; none
PPN1067819207; 1700; Sheḥiṭot u-vediḳot; none
PPN1067824014; 1300; Hebräische Sammelhandschrift; none
PPN1067825150; 1700; Sammelhandschrift; none
PPN1067827633; 1600; Perush ha-Zohar (Sifra di-Tseniʿuta); none
PPN1067829296; 1400; Antworten auf Anfragen zur Kabbala; none
PPN106782961X; 1800; Gebetbüchlein zum Neujahrsfest und zum Versöhnungstag; none
PPN1663028796; 1600; Yiḥud ha-kadosḥ; none
PPN1663031657; 1600; Kabbalistische Abhandlung; none
PPN1663032971; 1600; Zemir ʿaritsim yaʿaneh; none
PPN1663034346; 1700; Jemenitische Gedichtsammlung; none
PPN166304578X; 1800; Quduqdu Muluv tujiv agae dur ijav vaci qariqhuluqsav gamagu sudur; none
PPN1663117861; 1700; Segulot; none
PPN1663137447; 1500; Tora-Rolle : Fragment; none
PPN1663138257; 1400; Tora-Rolle : Fragment; none
PPN1663141479; 1400; Tora-Rolle : Fragment; none
PPN1663147930; 1200; Sefer ha-Halakhot : Fragmente; none
PPN1663216460; 1591; Uṯūlūǧīyā; none
PPN1663217491; 1068; al-Muʾtanaf takmilat al-muʾtalif wa-l-muḫtalif; none
PPN1663218056; 1363; Ḫamsa; none
PPN1663220298; 1890; Gedichtsammlung; none
PPN1663224501; 1583; Mašāriq al-anwār al-qudsīya fī-bayān al-ʿuhūd al-Muḥammadīya; none
PPN1663225591; 1400; as-Siyāsa aš-šarʿīya fī iṣlāḥ ar-rāʿī wa-r-rāʿīya; none
PPN1663226350; 1400; ar-Radd al-wāfir ʿalā man zaʿma an man samī Ibn-Taimīya šaiḫ al-islām kāfir; none
PPN1663227454; 1700; Ǧunk; none
PPN1663234337; 1600; Juristisches Dokument; none
PPN1663237182; 1500; Responsum bezüglich des Gewohnheitsrechts; none
PPN1663239649; 1615; Abhandlung über die Ketubah; none
PPN1663241074; 1700; Sammlung von Gedichten; none
PPN1663243328; 1300; Hebräische Sammelhandschrift; Philosophie; none
PPN1663274738; 1841; Iršād ar-rāšidīn; none
PPN166327536X; 1788; Kitāb-i Edirne waq'asi; none
PPN166328587X; 1600; Kabbalistische Darstellungen; none
PPN1663303266; 1600; Ginat bitan; none
PPN1663305889; 1700; Sammlung von Briefen; none
PPN1663308934; 1700; Sammlung von Briefen; none
PPN1663311730; 1700; Sammlung moral-ethischer Lehren; none
PPN1663337241; 1400; Astronomische Abhandlung; none
PPN1663448116; 1800; Atiša-Biographie; none
PPN1663448655; 1800; Atiṣa-Biographie; Kapitel 15, Teilausgabe; none
PPN1663493316; 1700; Verzeichnis von Heilmitteln; none
PPN1663494924; 1700; Atiša-Biographie; none
PPN1663503370; 1800; བྱང་ཆུབ་སེམས་དཔའི་རྟོགས་པ་བརྗོད་པ་དཔག་བསམ་གྱི་འཁྲི་ཤིང; none
PPN1663517207; 1300; Evangelia; none
PPN1663554145; 1870; Atiša-Biographie; none
PPN1663556628; 1798; Buddhistisch-moralistischer Traktat des Yün-ku; none
PPN1663558051; 1800; Geser Khan-Epos; none
PPN1663558108; 1800; སྔགས་ཀྱི་བཀླག་ཐབས་བསྡུས་པའི་ཊཱི་ཀ་མཐོང་བ་དོན་གསལ; none
PPN1663561745; 1800; [Titel unleserlich]; none
PPN1663742545; 1700; Siddhāntasundara. Vījagaṇitādhyāya; none
PPN1663746451; 1642; Mirʾāt-i kāʾināt; none
PPN1663747199; 1785; Silk ad-durar fī aʿyān al-qarn aṯ-ṯānī ʿašar; none
PPN1663747881; 1863; Maʽarif an-nasab; none
PPN1664483853; 1518; Taḥṣīl al-marām fī tārīḫ al-Balad al-Ḥarām; none
PPN1664531831; 1800; ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཐེག་པའི་ཚ་ཚ་གདབ་པའི་ཆོ་ག; none
PPN1664531912; 1800; བོད་ཀྱི་བརྡའི་བྱེ་བྲག་གསལ་བར་བྱེད་པ་ངག་གི་སྒྲོན་མ; none
PPN1664533435; 1700; Šarḥ Mawāqiʿ an-nuǧūm; none
PPN1664620044; 1858; al-Qurʾān; none
PPN1665100478; 1600; Arabische Sammelhandschrift; none
PPN1665268441; 1817; Kitāb al-iršād ilā naǧāh al-ʿabāda; none
PPN1665269057; 1564; Maǧmūʿ al-Imām al-Hādī ilā-l-Ḥaqq Yaḥyā Ibn-al-Ḥusain; none
PPN1665269626; 1471; Taǧrīd al-Kaššāf maʿa ziyādāt nukat liṭāf; none
PPN1665270233; 1692; Kitāb Šarḥ al-Azhār al-muntazaʿ al-muḫtār min al-ġaiṯ al-midrār; none
PPN1665270918; 1654; Šarḥ al-Azhār al-muntazaʿ al-muḫtār min al-ġaiṯ al-midrār; none
PPN1665318597; 1892; Šarḥ al-Azhār al-muntazaʿ al-muḫtār min al-ġaiṯ al-midrār; none
PPN1665320338; 1783; Kitāb Šarḥ al-Azhār al-muntazaʿ al-muḫtār min al-ġaiṯ al-midrār; none
PPN1665330147; 1664; al-Baḥr az-zaḫḫār al-ğāmiʿ li-maḏāhib ʿulamāʾ al-amṣār; none
PPN1665330309; 1400; al-Baḥr az-zaḫḫār al-ğāmiʿ li-maḏāhib ʿulamāʾ al-amṣār; none
PPN1665330430; 1470; Ġāyāt al-afkār wa-nihāyāt al-anẓār al-muḥīṭa bi-ʿaǧāʾib al-Baḥr az-zaḫḫār; none
PPN1665330643; 1600; Kitāb al-aṯmār; none
PPN1665334967; 1668; aṯ-Ṯamarāt al-yāniʿa wa-l-aḥkām al-wāḍiḥa al-qāṭiʿa al-muqtaṭafa min āyāt at-tanzīl; none
PPN1665335599; 1300; Kitāb at-taḥrīr; none
PPN1665336072; 1897; Arabische Sammelhandschrift; none
PPN1665921749; 1214; Arbaʿūn ḥadīṯan ʿan arbaʿīn šaiḫan fī arbaʿīn bāban li-arbaʿīn ṣaḥḥābīyan; none
PPN1666088722; 1755; Īṯār al-ḥaqq ʿalā l-ḫalq; none
PPN1666093815; 1651; Kitāb al-Anwār wa-ǧināʾ al-Aṯmār al-mufattiḥ li-kamāʾim al-Azhār al-muntaziʿ min al-Ġaiṯ al-midrār; none
PPN1666095001; 1663; Hidāya al-afkār ilā maʿānī al-Azhār; none
PPN1666113360; 1785; Iǧāza wa-muṣannifāt li-š-Šaiḫ al-Amīr al-Kabīr; none
PPN1666115029; 1688; Kitāb Mirqāt al-anẓār al-muntazaʿ min ġāyāt al-afkār al-kāšif li-maʿānī dībāǧat al-Baḥr az-zaḫḫār al-manṭawīya ʿalā tauḥīd ḏāt al-wāḥid al-qahhār; none
PPN166611569X; 1731; Šarḥ Takmilat al-aḥkām; none
PPN1666116521; 1518; [Šarḥ al-Wasīṭ fī ʿilm al-farāʾiḍ]; none
PPN1666117463; 1678; Durar al-aḥādīṯ an-Nabawīya bi-l-asānīd al-Yaḥyawīya; none
PPN1666118508; 1446; at-Taḏkira al-fāḫira fī fiqh al-ʿitra aṭ-ṭāhira; none
PPN1666184462; 1356; Šifāʾ al-awām li-t-tamyīz baina 'l-ḥalāl wa-l-ḥarām; none
PPN1666185418; 1618; Šāfī al-ʿalīl fī l-ḫams mīʾat al-aya min at-tanzīl; none
PPN1666185760; 1688; al-Munya wa-l-amal šarḥ al-Milal wa-n-niḥal; none
PPN1666233382; 1800; Dīwān; none
PPN1666583413; 1471; Arabische Sammelhandschrift; none
PPN1667224468; 1775; Yogaratnamālā des Nāgārjuna mit dem Kommentar des Guṇākara; none
PPN1667490516; 1821; Kitāb al-Qawānīn; none
PPN1667832646; 1528; Rāḥat el-ervāḥ; none
PPN1667832999; 1741; Anthologie von Dichtern vorwiegend des 16. und 17. Jh.; none
PPN1667889656; 1875; [Aus dem Cāndravyākaraṇam die Regeln über die varṇa und die paribhāśās]; none
PPN1668058316; 1865; Musalliyat al-ġarīb; none
PPN1668343932; 1800; Baḥr el-maʽārif; none
PPN1668676133; 1800; Dīvān-i Maḫdūmqulī; none
PPN166872460X; 1800; [རྣམ་དག་རང་ནི་ཆོས་སྐུ་མཁའ་དབྱིངས]; none
PPN1668819473; 1900; Prajñāpāramitāratnaguṇasaṃcayagāthā; none
PPN1669078205; 1650; Tafsīr al-Musnad; none
PPN1669081915; 1757; Nuzhat al-abṣār fī raqāʾiq al-ašʿār; none
PPN1669558991; 1897; Arabische Sammelhandschrift; none
PPN1669560864; 1792; Kitāb al-Azhār fī fiqh al-aʾimma al-aṭhār; none
PPN1669561186; 1693; Arabische Sammelhandschrift; none
PPN1669561461; 1600; Arabische Sammelhandschrift; none
PPN166992954X; 1600; Medizinische Sammelhandschrift; none
PPN1670139948; 1695; Nahǧ al-balāġa; none
PPN167020863X; 1665; al-Iḥkām fī šarḥ Takmilat al-aḥkām; none
PPN167021043X; 1937; as-Sirr wa-l-ʿalan; none
PPN1670255115; 1657; Taǧrīd al-Kaššāf maʿa ziyādat nukat liṭāf; none
PPN1670490904; 1878; Anbāʾ az-zaman fī aḫbār al-Yaman; none
PPN1670491560; 1688; Kamāʾim az-zahr wa-ṣudfat ad-durar; none
PPN1670492265; 1713; Kitāb Rauḍat al-albāb wa-tuḥfat al-aḥbāb wa-buġyat aṭ-ṭullāb wa-nuḫbat al-aḥsāb li-maʿrifat al-ansāb; none
PPN1670492745; 1324; Arabische Sammelhandschrift; none
PPN1670674398; 1100; Šarḥ al-Lumʿa fī n-naḥw; none
PPN1670711722; 1737; Qaṣīda Ǧawāhir al-aḫbār fī siyar al-aʾimma al-hādīn al-aḫyār; none
PPN1670712648; 1785; Wufūd al-ʿarab ʿalā Kisrā; none
PPN1670713504; 1785; Wufūd al-ʿarab ʿalā Kisrā; none
PPN1670714055; 1737; Arabische Sammelhandschrift; none
PPN1670715361; 1785; Šarḥ al-qaṣīda al-ʿabdūnīya; none
PPN1670716112; 1543; [Biographien jemenitischer Gelehrter]; none
PPN1670716589; 1785; Sīrat ʿAntar; none
PPN1671682645; 1700; Persische Sammelhandschrift; none
PPN1672819784; 1700; Arabische Sammelhandschrift; none
PPN1675779813; 1700; Qānūn-nāma; none
PPN1676020756; 1881; al-Laṭāʾif as-sanīya fī aḫbār al-mamālik al-yamanīya; none
PPN1676021531; 1405; Kitāb Ǧazīrat al-ʿarab; none
PPN1676021906; 1688; Kitāb Ḏikr ibtidāʾ ad-daula al-ʿuṯmānīya; none
PPN1676022295; 1737; Qaṣīda; none
PPN1676023712; 1710; Bassāmat ahl al-bait; none
PPN167602414X; 1708; [Genealogisches Fragment]; none
PPN1676025103; 1500; [Fragmente zur jemenitischen Geschichte]; none
PPN1676334416; 1688; Dīwān; none
PPN1676334971; 1700; Dīwān; none
PPN1676335633; 1700; Kitāb fī uṣūl al-fiqh; none
PPN1676337164; 1895; Kitāb al-Ḥawāšī; none
PPN1676337644; 1279; at-Taḥrīr fī 'l-fiqh; none
PPN1676407367; 1800; Kitāb al-muṣannaf fī ḥadīṯ; none
PPN1676515135; 1900; Hesei toktobuha Daicing gurun i uheri kooli bithe; none
PPN1676516999; 1900; debtelin 13-25; none
PPN1676522026; 1600; Arabische Sammelhandschrift; none
PPN1676534482; 1602; Kitāb Sirr al-alqa; none
PPN1676538798; 1900; debtelin 26-34; none
PPN1676540792; 1900; debtelin 35-42; none
PPN1676540970; 1900; debtelin 43-52; none
PPN1676541152; 1900; debtelin 63-72; none
PPN1676541357; 1900; debtelin 89-100; none
PPN1676769757; 1899; 欽定大清會典 100卷 (存66卷); none
PPN1676771085; 1899; 卷首, 卷1至卷12; none
PPN1676784934; 1899; 卷13至卷25; none
PPN1676786201; 1899; 卷26至卷34; none
PPN1676788409; 1899; 卷53至卷62; none
PPN1676789065; 1899; 卷64, 卷65, 卷71至卷74, 卷85至卷87; none
PPN1676789901; 1899; 卷89至卷100; none
PPN1677128720; 1500; Arabische Sammelhandschrift; none
PPN1677406178; 1599; al-ʿAsǧad al-masbūk fī man waliya al-Yaman min al-mulūk; none
PPN167740700X; 1931; Kitāb al-Iklīl (al-ǧuzʾ 10); none
PPN1677407530; 1931; Kitāb al-Iklīl (al-ǧuzʾ 8); none
PPN1677407891; 1423; Kitāb (al-ǧuzʾ al-awwal wa-ṯ-ṯānī) al-Iklīl; none
PPN1677408251; 1600; Qurrat al-ʿuyūn fī aḫbār al-Yaman al-maimūn; none
PPN1677408596; 1579; Taʾrīḫ ṯaġr ʿAdan; none
PPN167778928X; 1800; Arabische Sammelhandschrift; none
PPN1677911840; 1499; Leylā ve Meğnūn; none
PPN167881296X; 1316; al-Iršād ilā naǧāt al-ʿibād; none
PPN1678814342; 1676; Kitāb aš-Šumūs wa-l-aqmār aṭ-ṭāliʿa min ufuq Fatḥ al-ʿazīz al-ġaffār al-mufattiḥ li-maḫluqāt Aṯmār al-Azhār al-muntaziʿ min al-Wābil al-miġrār fī fiqh al-aʾimma al-aṭhār; none
PPN1678814938; 1700; Rauḥ ar-rūḥ fīmā ḥadaṯa baʿd tamām al-miʾa at-tāsiʿa min al-fitan wa-l-futūḥ; none
PPN1678845884; 1900; Ṣanʿāʾ šehrī ḫarīṭasi; none
PPN167885865X; 1649; Muḫtār min rasāʾil al-Ǧāḥiẓ; none
PPN1678942901; 1688; al-Muqaddima as-Saḫāwīya fī 'l-ḥisāb; none
PPN1679164368; 1704; [Indische Sammelhandschrift mit christlichen Texten]; none
PPN1679222767; 1500; Kitāb Šarḥ al-Uṣūl al-ḫamsa; none
PPN1679225529; 1434; as-Sulūk fī ṭabaqāt al-ʿulamāʾ wa-l-mulūk; none
PPN1679227149; 1700; Durr al-aṣdāf; none
PPN1680043366; 1800; al-auwal min ad-Dalhamah; none
PPN168009498X; 1900; 欽定宗人府則例; none
PPN1680800302; 1688; al-Barq al-Yamānī fī-'l-fatḥ al-ʿUṯmānī; none
PPN1680800558; 1635; al-Baḥr az-zaḫḫār al-ǧāmiʿ li-maḏāhib ʿulamāʾ al-amṣār; none
PPN1681386445; 2000; Tattvamuktakalāpa; none
PPN1681390744; 2000; Tattvamuktakalāpa des Veṅkatanātha Vedāntācārya mit der Sarvārthasiddhi des Autors. Sara 1-2 sowie Zusammenfassung des Kommentars; none
PPN1681393808; 2000; Tattvamuktakalāpa. Saras 1-5; none
PPN1681598361; 1884; Zabūr Dāwūd an-Nabī wal-Malik al-madʽūw qalb Allāh [Psalmi]; none
PPN1681600188; 1800; Bruchstücke aus christlichen Werken; none
PPN1681618257; 1369; [Abhandlung zum Qur'an]; none
PPN168196614X; 1600; Dustūr al-iʽlām bi-maʽārifat al-aʽlām; none
